importance_label,credibility_label,importance_score,credibility_score,source,category,title,timestamp,title_length,title_word_count,content_length,content_word_count,source_trust_score,category_crypto,category_tech,category_sports,category_world,category_markets,category_unknown,total_words,important_words_ratio,spam_words_ratio,title_important_words,title_spam_words,time_features
1.0,1.0,0.6,0.9,database,tech,[Dark Reading Virtual Event] Know Your Enemy: How cybercriminals and nation-state hackers operate,2025-10-26T21:29:39.158207+00:00,97,13,97,13,0.5,0.0,1.0,0.0,0.0,0.0,0.0,26,0.0,0.0,0,0,1.0
1.0,1.0,0.8,0.75,database,world,Flights to Los Angeles International Airport halted due to air traffic controller shortage,2025-10-26T21:29:39.158266+00:00,90,13,90,13,0.5,0.0,0.0,0.0,1.0,0.0,0.0,26,0.0,0.0,0,0,1.0
1.0,1.0,0.6,0.7,database,crypto,XRP Ledger Validator Sees NFT-to-NFT Trading Potential in Proposed 'Batch' Amendment,2025-10-26T21:29:39.158297+00:00,84,11,84,11,0.5,1.0,0.0,0.0,0.0,0.0,0.0,22,0.0,0.0,0,0,1.0
1.0,0.0,0.8,0.5,database,world,Suspects arrested over the theft of crown jewels from Paris' Louvre museum,2025-10-26T21:29:39.158324+00:00,74,12,74,12,0.5,0.0,0.0,0.0,1.0,0.0,0.0,24,0.0,0.0,0,0,1.0
0.0,0.0,0.5,0.5,database,world,Jeff Bezos Makes Major Financial Decision After Report He & Lauren Sanchez Are Going to Court For Money,2025-10-26T21:29:39.158355+00:00,103,18,103,18,0.5,0.0,0.0,0.0,1.0,0.0,0.0,36,0.05555555555555555,0.0,1,0,1.0
0.0,1.0,0.3,0.8,database,world,The clocks are turning back tonight — 3 things you'll notice tomorrow,2025-10-26T21:29:39.158386+00:00,69,12,69,12,0.5,0.0,0.0,0.0,1.0,0.0,0.0,24,0.0,0.0,0,0,0.0
1.0,1.0,0.8,0.8,database,world,Russia faces a shrinking and aging population and tries restrictive laws to combat it,2025-10-26T21:29:39.158469+00:00,85,14,85,14,0.5,0.0,0.0,0.0,1.0,0.0,0.0,28,0.0,0.0,0,0,0.0
1.0,0.0,0.6,0.3,database,crypto,Ethereum’s Fusaka upgrade to introduce transaction gas limit cap via EIP-7825,2025-10-26T21:29:39.158543+00:00,77,11,255,40,0.5,1.0,0.0,0.0,0.0,0.0,0.0,51,0.0,0.0,0,0,1.0
0.0,1.0,0.4,0.85,database,crypto,Solana Mobile retires Saga after short-lived two-year run,2025-10-26T21:29:39.158597+00:00,57,8,224,40,0.5,1.0,0.0,0.0,0.0,0.0,0.0,48,0.0,0.0,0,0,1.0
1.0,1.0,0.6,0.7,database,crypto,Bitcoin Absolutely Crushing Gold with Biggest Green Candle Since April,2025-10-26T21:29:39.158626+00:00,70,10,118,18,0.5,1.0,0.0,0.0,0.0,0.0,0.0,28,0.0,0.0,0,0,1.0
1.0,1.0,0.8,0.75,database,crypto,BlackRock’s $40B IBIT options: Is Bitcoin’s volatility now the market’s favorite income play?,2025-10-26T21:29:39.159070+00:00,93,13,6894,1039,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1052,0.0,0.0,0,0,1.0
