title,category,source,importance,credibility,label
Labour grapples with threat from Reform UK at party conference,world,bbc politics,0.6,0.75,1
Cars swept away in Bulgaria floods,world,bbc world,0.8,0.9,1
Billionaire populist Andrej Babis' party wins Czech parliamentary election,world,bbc world,0.6,0.85,1
Feds Tie ‘Scattered Spider’ Duo to $115M in Ransoms,unknown,krebs on security,0.8,0.9,1
"Supabase nabs $5B valuation, four months after hitting $2B",unknown,techcrunch,0.6,0.75,1
Removing these 50 objects from orbit would cut danger from space junk in half,unknown,ars technica,0.8,0.7,1
"Coinbase Applies for Federal Trust Charter, Says Not Aiming to Be a Bank",crypto,coindesk altcoins,0.6,0.85,1
"As stagflation looms, experts advise: own assets or risk being left behind",crypto,cryptoslate altcoins,0.8,0.75,1
Threat Actor Deploys 'OVERSTEP' Backdoor in Ongoing SonicWall SMA Attacks,unknown,dark reading,0.8,0.9,1
"Greta Thunberg mistreated by Israeli forces in detention, activists say",world,al jazeera,0.6,0.7,1
The Cost of the AGI Delusion,world,foreign affairs,0.6,0.7,1
"Starmer resets after Rayner row, but Labour turmoil is a gift for Reform",world,bbc politics,0.6,0.75,1
Ethena Foundation Seeks to Activate Fee Switch,crypto,the defiant,0.6,0.75,1
NGOs urge Brazil to prevent fossil fuel capture of COP30 climate summit,world,climate home,0.6,0.85,1
Georgia protesters try to storm Tbilisi presidential palace,world,bbc world,0.8,0.9,1
'Trifecta' of Google Gemini Flaws Turn AI Into Attack Vehicle,unknown,dark reading,0.9,0.7,1
"Microsoft inks $33 billion in deals with 'neoclouds' like Nebius, CoreWeave — Nebius deal alone secures 100,000 Nvidia GB300 chips for internal use",unknown,tom's hardware,0.8,0.8,1
DOGE Rallies 3% Back Above $0.26 as Traders Target $0.30,crypto,coindesk altcoins,0.6,0.75,1
UFC 320: Pereira stuns Ankalaev with TKO to regain light heavyweight title,world,al jazeera,0.6,0.7,1
Netanyahu says he hopes to announce hostage release in the 'coming days',world,bbc world,0.8,0.8,1
Senate stalemate sends US shutdown into second week,world,bbc world,0.8,0.9,1
US: Sean 'Diddy' Combs sentenced to over 4 years in prison,world,dw world,0.6,0.7,1
TSMC reduces peak power consumption of EUV tools by 44% — company to save 190 million kilowatt-hours of electricity by 2030,unknown,tom's hardware,0.6,0.85,1
"BitMine’s Lee calls ETH a ‘discount to the future,’ Bit Digital eyes $100M",crypto,cointelegraph eth,0.6,0.75,1
India probes possible cough syrup link to deaths of at least nine children,world,al jazeera,0.8,0.85,1
New China APT Strikes With Precision and Persistence,unknown,dark reading,0.8,0.75,1
UK synagogue attack: Police likely shot one victim,world,dw world,0.9,0.85,1
DePIN Fees Hit All-Time High,crypto,the defiant,0.6,0.7,1
How much trouble is Labour in - and is the PM the right man for the job?,world,bbc politics,0.6,0.75,1
More ways to work with your team and tools in ChatGPT,unknown,openai blog,0.6,0.9,1
"HYPE HITS ATH, NASDAQ WANTS STOCK TOKENISATION, WLD SOARS",crypto,decrypt eth,0.8,0.75,1
"SoFi Doubles Down on Crypto Plans, Reveals Stablecoin Details",crypto,the defiant,0.6,0.9,1
Italians stage strike in support of Gaza Palestinians,world,bbc world,0.6,0.8,1
Red Hat Investigates Widespread Breach of Private GitLab Repositories,unknown,dark reading,0.8,0.75,1
"SocGen’s Crypto Arm Deploys Euro, Dollar-Pegged Stablecoins in DeFi",crypto,the defiant,0.6,0.8,1
AAVE Breaks Resistance as DeFi Market Hits Record $219B Size,crypto,coindesk altcoins,0.8,0.75,1
"Creating a safe, observable AI infrastructure for 1 million classrooms",unknown,openai blog,0.8,0.75,1
IEA says some oil and gas projects must shut early to meet 1.5C limit,world,climate home,0.8,0.85,1
Poland scrambles jets as Ukraine says 5 killed in Russian strikes,world,bbc world,0.8,0.9,1
How Vanuatu is facing up to rising climate risks,world,climate home,0.8,0.85,1
Airport Chaos Shows Human Impact of 3rd-Party Attacks,unknown,dark reading,0.8,0.85,1
Breaking up (Google) is hard to do,unknown,the verge,0.6,0.75,1
Football Manager 26 unveils details on women's leagues,sports,espn esports,0.6,0.9,1
A joint statement from OpenAI and Microsoft,unknown,openai blog,0.8,0.9,1
United States ISM Services PMI below expectations (51.7) in September: Actual (50),unknown,fxstreet,0.6,0.8,1
Solana Slides Despite $500 Million Treasury Boost as Crypto Markets Stay Volatile,crypto,the defiant,0.6,0.75,1
Floki Soars 23% as Valour Launches Europe’s First FLOKI ETP,crypto,coindesk altcoins,0.6,0.7,1
Federal appeals court rules Trump administration can't end birthright citizenship,world,yahoo,0.9,0.9,1
Exposed Docker Daemons Fuel DDoS Botnet,unknown,dark reading,0.8,0.75,1
EUR/JPY rebounds as Yen pressured by political uncertainty and soft jobs data,unknown,fxstreet,0.6,0.75,1
OpenSea announces NFT reserve with CryptoPunk as first buy,crypto,cointelegraph nft,0.6,0.75,1
Avalanche TVL Doubles Since April to $2.1 Billion,crypto,the defiant,0.7,0.75,1
Time for Emerging Markets ETFs?,unknown,fxstreet,0.6,0.75,1
A breach every month raises doubts about South Korea’s digital defenses,unknown,techcrunch,0.8,0.75,1
The ICJ climate ruling has major implications for the loss and damage fund,world,climate home,0.8,0.75,1
EigenCloud Surges 25% After Partnering with Google to Boost Trust in AI Payments,crypto,the defiant,0.6,0.7,1
Fed's Miran: Inflation expectations are reasonably well anchored,unknown,fxstreet,0.6,0.85,1
IoT Security Flounders Amid Churning Risk,unknown,dark reading,0.8,0.75,1
